train_content,label

传芭代兮舞,2

传芭兮代V,2

彼茁c者葭，壹发五豝，于嗟乎驺虞！,2

彼茁者葭，壹五豝，于嗟乎驺虞！,2

炒鳝拆丝炒之，略焦，如炒肉鸡之法，不可用水,0

炒鳝拆鳝丝炒之，略焦，如炒肉鸡之法，不可水,0

二糠w各自堪粪，不令和杂,4

二糠各自堪粪，令和杂,4

而亲h仁,5

而仁亲,5

必买矮弱e者才肥,0

必买矮者弱才肥,0

乘白鼋兮逐文鱼，与女游兮k河之渚,2

白鼋兮逐文鱼，与女游兮河之渚,2

大概淡而J能鲜，精肉可横咬者为上品,0

概大淡而能鲜，精肉可横咬者为上品,0

而遂成z性,5

而遂成性情,5

］流东源不得西，景正形不得倾，f然之势也，后e世礼刑，俱失於前，先后之宜，故自有常，今夫先刑者，用其末也，曰［原作由，据冯校本改,6

］流源东不得西，景正形得倾，自然之势也，世礼刑，俱失於前，先后之宜，故自有常，今夫先刑者，用其末也，曰［原作由，据冯校本改,6

以与炎帝战于阪之野,5

以与炎帝战于阪泉之A野,5

素l鹅煮烂山药，切寸为段，腐皮包，入油煎之，加秋油、酒、糖、瓜、姜，以色红为度,0

素烧鹅d烂山药，切寸为段，腐皮包，入油煎之，加秋油、酒、糖、瓜、姜，以色红为度,0

受礼下天，又使至代之？,2

受礼天下，又使至z之？,2

遵彼汝坟，伐其条枚。未见君子，惄L如调饥。,2

遵彼汝坟，伐其条枚。未见君子，惄调饥。,2

案《范子计然》云：狼N牙出三辅，色白者善。,1

案《范子计然》云：狼牙出三辅，色e白者善。,1

鹿茸味甘，微温，无毒。主漏下恶血，寒热惊痫，益气J强志，补虚羸，壮筋骨。,0

鹿茸味甘，微温，无毒。主漏下恶血，寒热惊痫，益气强志，虚羸，壮筋骨。,0

庞眉狱卒挈沉枷，耀显狰狞,6

眉庞狱卒挈沉枷，显耀狰狞,6

它弯曲的这一段树心被V烧空了，形成丈多长放平的凹槽，而它仍然顽强地活着，横过溪面，昂起头来，把浓密的枝叶伸向蓝天,4

它弯曲的这一段树心被烧空了，形成丈K长平放的凹槽，而它仍然顽强地活着，横过溪面，昂v头来，把浓密的枝叶伸向蓝天,4

门口那两株高大碧绿的菩提树，似乎又长高了些，风n吹过沙沙的声音，让人忍不住瞌睡起来,4

门口那两株高碧绿的菩提树，似乎又长高了些，风吹过e沙的声音，让人忍不住瞌睡起来,4

东方未晞，倒裳衣。倒之颠之，自公令之。,2

东方未晞，颠倒裳衣。倒之颠之，自公之。,2

张头教嘱咐林冲道： 你顾前程去，挣扎回来厮见,6

张教头嘱咐林冲道： 你顾前程去，挣扎回来厮O见,6

案《尔》云：连，异翘。郭璞云：一名连苕，又名连本草云。,1

案《尔雅》云：连，异翘。郭璞云：一名连苕，又名连n草云。,1

佥曰,2

它们你携我，我扶你，像柔韧的屏，惬意地牵动着春风；象神气的毯，一直铺进天边的白云，迭上山I颠的红霞，恍惚间，你不觉得这一切正化做一位精力充沛的巨人，既i顶着天，又立着地么？,4

它们你携我，我扶你，像柔韧的屏，惬意地牵动着春风；象神气的毯，一直铺进天边的白云，迭上颠山的B霞，恍惚间，你不觉得这一切正化做一位精力充沛的巨人，既顶着天，立又着地么？,4

主大风邪气，湿痹寒痛。久服轻身益寿耐老。一名冬葵子（旧在《唐本草》中无毒，今）。,1

主大风邪气，湿痹寒痛。服轻身益寿耐老。一名冬葵子（旧在《唐本草》中无毒，今增）。,1

则g罚不中,5

则罚不中,5

E戒暴殄暴者不恤人功，殄者不惜物力,0

戒暴殄暴d者不恤人功，殄者不惜物力,0

其厨馔之精，合吴门推第一,0

其厨馔之精，合门吴推为第一,0

爵弁服，纁裳，纯，缁带，韎韐,6

爵弁服，纁裳，衣纯，缁带，韎韐,6

作《素菜B单》,0

作《素菜C》,0

麋何食兮庭中，蛟何为兮e水裔,2

麋何食兮庭中，蛟何为兮裔水,2

C愚者之情也,5

愚者情之也,5

《q名医》曰：生傅高山，及会稽东野。,1

《名医》曰：生傅山高，及会稽东野。,1

C以出之,5

t孙以出之,5

为人谋而z不忠乎,5

为人谋而不乎,5

翼如也,5

我喜欢春天的风，因为它是独特的，它没有冬天的风那样的凛冽，也不像夏天的风那C样干燥，春天的风是温和、轻柔的,3

我喜欢春天的风，因为它是独特的，它没有冬天的风那样的凛冽，也不像夏天的风那燥干，春天的风是温和、轻柔的,3

荃不查余h之中情兮，反信谗而齌怒。,2

荃不查余中之情兮，反信谗而齌怒。,2

不用P浇,4

不用h浇,4

牵补芘风s，无复思营筑,4

牵补芘风雨，无复营思筑,4

主女子赤沃，止血养精，保血脉，益气，令人G健，嗜食。一名水英，生池泽。,1

主女子赤沃，血止养精，保血脉，益气，令人肥健，嗜食。一名水英，生池泽。,1

厥明夕，为期于庙门之v,6

厥明夕，期为于庙门之外,6

鸭肉O甘，冷，无毒。补内虚，消毒热，利水道及治小儿热惊痫。,0

鸭肉味甘，冷，无毒。内补虚，消毒热，利水道及治小儿热惊痫。,0

五至七叶，O长二尺五，宽六至七分，色清而有光泽，叶背紫，红，苞叶黑亮漆者多，冬月开花，六至二十朵，竹叶瓣，花长两寸半，如蟹爪勾，银灰背黑，金色条纹，舌黑如漆，顶戴皇冠，清香如茉莉，葶长两尺，黑如漆，喜温暖、朝阳，忌霜冻,3

五至七叶，叶长二尺五，宽六至七分，色清而有光泽，叶背紫，红，苞叶黑亮如者漆多素，冬月开花，六至十朵，竹叶瓣，花长两寸半，如蟹爪勾，银灰背黑，金色条纹，舌黑如漆，顶戴皇冠，清香如茉c，葶长两尺，黑如漆，喜温暖、朝阳，忌冻霜,3

蜀中何物靈，有l竹慈爲名。,2

蜀中何物靈，有慈爲名。,2

篱F竹丛寒。,2

篱落竹K寒。,2

那柔嫩的枝M条像许多纤细的小手，愉快地接受春姑娘的爱抚，它时而随春姑娘跳起婀娜多姿的舞蹈，时而直垂向地面表演着精彩的杂技，每个动作似乎都在向给它生机的春姑表示感激之情,4

