train_content,label
當塗當塗見，蕪湖蕪湖見。,2
八月十五夜，一似沒柄扇。,2
蟬眼龜形脚似蛛，未嘗正面向人趨。,2
如今飣在盤筵上，得似江湖亂走無。,2
倒排雙陸子，稀插碧牙籌。,2
既似柿牛妳，又如鈴馬兜。,2
鼓搥并㩧箭，直是有來由。,2
一夜小園開似雪。,2
萬國未得雨，孤雲猶在山。,2
嫚侮羣豪誇大度，可憐容得辟陽侯。,2
八珍一箸千金價，往往精庖賤惠文。,2
莫道形模大剛拙，剖珠也解獻殷勤。,2
一箭不中鵠，五湖歸釣魚。,2
却下烏臺建隼旟，侯封歸去襲龍舒。,2
嚴霜尚滿辭天闕，甘雨看隨入境車。,2
千里陵陽同陝服，鑿門胙土寄親賢。,2
曙烟已別黄金殿，晚照重登白玉筵。,2
江上浮光宜雨後，郡中遠岫列窗前。,2
天心待報期年政，留與工師播管弦。,2
正是花時節，思君寢復興。,2
市沽終不醉，春夢亦無憑。,2
嶽面懸清雨，河心走濁冰。,2
東門一條路，離恨正相仍。,2
憶見萌芽日，還憐合抱時。,2
舊歡如夢想，物態暗還移。,2
素豔今無幾，朱顔亦自衰。,2
樹將人共老，何暇更悲絲。,2
託植經多稔，頃筐向盛時。,2
枝條雖已故，情分不曾移。,2
莫向階前老，還同鏡裏衰。,2
更應憐墮葉，殘吹挂蟲絲。,2
人物同遷謝，重成念舊悲。,2
連華得瓊玖，合奏發塤篪。,2
餘枿雖無取，殘芳尚獲知。,2
問君何所似，珍重杜秋詩。,2
悠悠往古繼來今，天地無窮照孔林。,2
兩到金絲堂下拜，門生無負百年心。,2
張鴻詩在楞伽峽，韓愈碑留燕喜亭。,2
今年六十七，老病隨緣且遣日。,2
今年記却來年事，來年記著今朝日。,2
白銀世界金色身，情與非情共一真。,2
明暗盡時俱不照，日輪午後示全身。,2
一言截斷千江口，萬仞峰前始得玄。,2
萬里神光都一照，誰人敢並日輪齊。,2
同呼碧嶂前，已是十餘年。,2
話別非容易，相逢不偶然。,2
多爲詩酒役，早免利名牽。,2
幸有歸真路，何妨學上玄。,2
詩酒獨游寺，琴書多寄僧。,2
移檜托禪子，携家上赤城。,2
拂琴天籟寂，欹枕海濤生。,2
雪白寒峰晚，鳥歌春谷晴。,2
又聞求桂楫，載月十洲行。,2
何人見植初，老對梵王居。,2
山鬼暗栖托，樵夫難破除。,2
聲高秋漢迥，影倒月潭虛。,2
盡日無僧繞，清風長有餘。,2
琪木扶疏繫辟邪，麻姑夜宴紫皇家。,2
銀河旌節摇波影，珠閣笙簫吸月華。,2
翠鳳引游三島路，赤龍齊別五雲車。,2
星稀猶倚虹橋立，擬就張騫搭漢槎。,2
神仙風格本難儔，曾從前皇翠輦游。,2
紅躑躅繁金殿暖，碧芙蓉笑水宮秋。,2
寶車鈿剝陰塵覆，錦帳香消畫燭幽。,2
一旦色衰歸故里，月明猶夢按梁州。,2
高奇一百篇，見造化工全。,2
積思游滄海，冥搜入洞天。,2
神珠迷罔象，瑞玉匪雕鑴。,2
休嘆不得力，離騷千古傳。,2
圓塘綠水平，魚躍紫蒓生。,2
要路貧無力，深村老退耕。,2
犢隨原草遠，蛙傍塹籬鳴。,2
撥棹茶川去，初逢穀雨晴。,2
吟高鄙俗流，傲逸訪巢由。,2
古寺尋僧飯，寒巖衣鹿裘。,2
園桃山鼠嚙，崖蜜獵人偷。,2
遂這箇清性，浮生不苟求。,2
高卧白雲鄉，崖泉對閣凉。,2
守貧無屬道，多病數求方。,2
