train_content,label

传r芭兮代舞,2

传芭h兮代舞,2

彼茁者葭，发壹五豝，于嗟乎驺虞！,2

彼茁者葭，壹发五豝，于乎嗟驺虞！,2

炒鳝拆鳝丝炒之，略焦，如炒鸡之法，不可用水,0

鳝炒拆鳝丝炒之，略焦，如炒肉鸡之法，不可用水,0

二糠各y堪粪，不令和杂,4

二糠自各堪粪，不令和杂,4

而亲I,5

而亲Z,5

必T买矮弱者才肥,0

必买矮O弱者才肥,0

乘白鼋兮逐文鱼，与X游兮河之渚,2

乘白鼋兮逐文鱼，与女游兮之渚,2

大概淡而能鲜，精肉O可横咬者为上品,0

大概淡而能鲜，精肉可横u咬者为上品,0

而遂成o性,5

而遂成性情,5

］流东源不得西，景正形不P得倾，自然之势也，后世礼刑，俱於前，先后之宜，故自有常，今夫先刑者，用其末也，曰［原作由，据冯校本改,6

］流东源不得西，景正形不得倾，自然之势也，后世礼刑，俱於前，先后之宜，故有自常，今夫先刑者，用其末也，曰［原作由，据冯校本改,6

以与炎帝战于阪泉之o野,5

以与炎帝战于阪泉野之,5

素烧鹅煮烂山药，切寸为段，腐皮K，入油煎之，加秋油、酒、糖、瓜、姜，以色红为度,0

素烧鹅煮烂山，切寸为段，腐皮包，入油煎之，加秋油、酒、糖、瓜、姜，以色红为度,0

受天下，又使至代之？,2

受礼下，又使至代之？,2

遵彼汝坟，伐其条枚。未见君，惄如调饥。,2

遵彼汝坟，伐其条枚。未见子君，惄如调饥。,2

案《范L子计然》云：狼牙出三辅，色白者善。,1

案《范子计然》云：狼牙出三辅，色m者善。,1

鹿茸味甘，微温，无毒。主下漏恶血，寒热惊痫，益气强志，补虚羸，壮筋骨。,0

鹿茸味甘，温，无毒。主漏下恶血，寒热惊痫，益气强志，补虚羸，壮筋骨。,0

庞s眉狱卒挈沉枷，显耀狰狞,6

庞眉Z卒挈沉枷，显耀狰狞,6

它弯曲的这一段心树被烧空了，形成丈多长平放的凹槽，而它仍然顽强地r着，横过溪面，昂起头来，把浓密的枝叶伸向蓝天,4

它弯曲的这一段树心被烧空了，形B成丈多长平放的凹槽，而它仍然顽强地活着，横过溪面，昂起头来，把浓密的枝叶伸向蓝天,4

门口那两株高大碧绿的菩提树，似乎又长高了些，风过沙沙的声音，让人忍不瞌睡起来,4

门口那两株高大碧绿的菩提树，似乎又长高了些，风过沙沙的声音，让人忍住瞌睡起来,4

东方未晞，颠t裳衣。倒之颠之，自公令之。,2

东方未晞，颠倒裳衣。倒之颠之，自令公之。,2

张教头嘱咐林冲道： 你顾j前程去，挣扎回来厮见,6

张教头嘱咐林冲道： 你顾前程去，挣扎回来h厮见,6

案《尔雅》云：连，异翘。郭璞云：一名连苕，H名连本草云。,1

案《尔雅》云：连，异翘。郭璞云：一名连苕，又名连E草云。,1

佥曰,2

它们你携我，我扶你，像柔韧的屏，惬意地牵动着春风；象神气的毯，一直铺进天边的白云，迭上山颠的红霞，恍惚间，你不觉得这一切正化做位精力充沛的巨C人，顶既着天，又立着地么？,4

它们你携我，我扶你，像柔韧的屏，惬意地牵动着春风；象神气的毯，一直铺进天边的白云，迭上山颠的红霞，惚恍间，你不觉得这一切正化做一f位精力充沛的巨人，既顶着天，又立着地么？,4

主大风邪气，湿痹寒痛。久服轻身益寿耐老。一名冬葵子（旧在《唐本草》中H无毒，今增）。,1

主大风邪气，湿痹痛寒。久服轻身益寿耐老。一名冬葵子（旧在《唐本草》中无毒，今增）。,1

则V罚不中,5

则罚刑不中,5

戒暴殄m者不恤人功，殄者不惜物力,0

戒暴殄暴者不恤V人功，殄者不惜物力,0

其厨馔之精，合s门推为第一,0

其厨馔之精，合吴门推为一,0

爵弁服，纁裳，E纯衣，缁带，韎韐,6

爵弁服，纁裳，纯a衣，缁带，韎韐,6

作《素v单》,0

作《素菜》,0

麋何食兮庭中，蛟何F兮水裔,2

麋何食兮庭中，蛟何兮水裔,2

愚者之C情也,5

者愚之情也,5

《名医》曰：生L高山，及会稽东野。,1

《名医》曰：生傅高山，Q会稽东野。,1

a以出之,5

以出之,5

为S谋而不忠乎,5

为谋而不忠乎,5

翼如也,5

我喜欢春天的风，因为它是独特的，它没有冬天的风那样的凛冽，也不像夏天的风那样干燥，春天的风是温和、轻g柔的,3

我喜欢春天的风，因它是独特的，它没有冬天的风那样的凛冽，也不像夏天的风B样干燥，春天的风是温和、轻柔的,3

荃不查余之中情兮，q信谗而齌怒。,2

荃不查余之中情兮，反谗而齌怒。,2

不水用浇,4

不用d水浇,4

牵补芘风雨，无复思筑,4

牵补芘风，无复思营筑,4

主女子赤沃，止血养精，保血脉，益气，令k肥健，嗜食。一名水英，生池泽。,1

主女赤沃，止血养精，保血脉，益气，令人肥健，嗜食。一名水英，生池泽。,1

厥明夕，为y期于庙门之外,6

厥明夕，为期于庙门外,6

鸭肉味甘，冷，无毒。补内虚，消Z毒热，利水道及治小儿热惊痫。,0

鸭肉味甘，冷，无毒。补内虚，消毒热，利水道及治小儿e热惊痫。,0

五至七叶，叶长二尺五，宽六至七分，色清而有光泽，叶背紫，红，苞叶黑亮如者多素，冬月开花，六至十二朵，竹叶瓣，花长两寸半，如蟹爪勾，银灰背黑，金J色条纹，舌黑如漆，顶戴皇冠，清香如茉莉，葶长两尺，黑如漆，喜温暖、朝阳，忌霜a冻,3

五至七叶，叶长尺二五，D六至七分，色清而有光泽，叶背紫，红，苞叶黑亮如漆者多素，冬月开花，六至十二朵，竹叶瓣，花长两寸半，如蟹爪勾，银灰背黑，金Y色条纹，舌黑如漆，顶戴皇冠，清香如茉莉，葶长两尺，黑如漆，喜温暖、朝阳，忌霜冻,3

蜀中j物靈，有竹慈爲名。,2

蜀中物何靈，有竹慈爲名。,2

M落竹丛寒。,2

落篱竹丛寒。,2

那柔嫩的枝条像多许纤细的小手，愉快地接K春姑娘的爱抚，它时而随春姑娘跳起婀娜多姿的舞蹈，时而直垂向地面表演着精彩的杂技，个每动作似乎都在向给它生机的春姑娘表示感激之情,4

那柔嫩的枝条像许多纤细的小手，愉地接受春姑娘的爱抚，它时而随姑春娘跳起婀娜多姿的舞蹈，时而直垂向地面表演着精H彩的杂技，每个动作似乎都在向给它生机的春姑娘表示感激之情,4

黄河秦船（I俗名摆子船,6

黄河秦船（俗名摆i子船,6

眼前那棵U树，姿态十分优美,4

眼前那棵梅k树，姿态十分优美,4

犹天之不o可阶而升也,5

犹天之不可阶x而升也,5

甘草味甘，平，无毒。和药百，解诸毒。,0

甘草味甘，平，毒无。和百药，解诸毒。,0

案《周礼》玉府：斋王，则供食玉。郑云：玉是阳精之纯者，食之以御水气。,1

案《周礼》玉府：王斋，则供食玉。郑云：玉是阳精之纯者，食以御水气。,1

身后龙山，古木参天，苍翠欲滴，一棵棵数百年p龄的名贵树种古枝虬盘、生生不息，保佑着郭洞村民世代的祉,4

身后龙山，古木参天，苍翠欲滴，一棵棵数百年高龄的名贵树种古枝虬盘、生生不息，保佑着郭洞村民g代的福祉,4

【肉红】　花千层圆密，红Y如肉色，透明不杂,3

【肉红】　花千层圆密，红如肉X色，透明不杂,3

案《广雅》云：屈居，芦茹也。《范B计然》云：闾茹出武都，黄色者善。,1

案《广雅》云：屈居，芦茹也。《范子计然》云：茹闾出武都，黄色者善。,1

