train_content,label
传芭兮代舞,2
彼茁者葭，壹发五豝，于嗟乎驺虞！,2
炒鳝拆鳝丝炒之，略焦，如炒肉鸡之法，不可用水,0
二糠各自堪粪，不令和杂,4
而亲仁,5
必买矮弱者才肥,0
乘白鼋兮逐文鱼，与女游兮河之渚,2
大概淡而能鲜，精肉可横咬者为上品,0
而遂成情性,5
］流东源不得西，景正形不得倾，自然之势也，后世礼刑，俱失於前，先后之宜，故自有常，今夫先刑者，用其末也，曰［原作由，据冯校本改,6
以与炎帝战于阪泉之野,5
素烧鹅煮烂山药，切寸为段，腐皮包，入油煎之，加秋油、酒、糖、瓜、姜，以色红为度,0
受礼天下，又使至代之？,2
遵彼汝坟，伐其条枚。未见君子，惄如调饥。,2
案《范子计然》云：狼牙出三辅，色白者善。,1
鹿茸味甘，微温，无毒。主漏下恶血，寒热惊痫，益气强志，补虚羸，壮筋骨。,0
庞眉狱卒挈沉枷，显耀狰狞,6
它弯曲的这一段树心被烧空了，形成丈多长平放的凹槽，而它仍然顽强地活着，横过溪面，昂起头来，把浓密的枝叶伸向蓝天,4
门口那两株高大碧绿的菩提树，似乎又长高了些，风吹过沙沙的声音，让人忍不住瞌睡起来,4
东方未晞，颠倒裳衣。倒之颠之，自公令之。,2
张教头嘱咐林冲道： 你顾前程去，挣扎回来厮见,6
案《尔雅》云：连，异翘。郭璞云：一名连苕，又名连本草云。,1
佥曰,2
它们你携我，我扶你，像柔韧的屏，惬意地牵动着春风；象神气的毯，一直铺进天边的白云，迭上山颠的红霞，恍惚间，你不觉得这一切正化做一位精力充沛的巨人，既顶着天，又立着地么？,4
主大风邪气，湿痹寒痛。久服轻身益寿耐老。一名冬葵子（旧在《唐本草》中无毒，今增）。,1
则刑罚不中,5
戒暴殄暴者不恤人功，殄者不惜物力,0
其厨馔之精，合吴门推为第一,0
爵弁服，纁裳，纯衣，缁带，韎韐,6
作《素菜单》,0
麋何食兮庭中，蛟何为兮水裔,2
愚者之情也,5
《名医》曰：生傅高山，及会稽东野。,1
孙以出之,5
为人谋而不忠乎,5
翼如也,5
我喜欢春天的风，因为它是独特的，它没有冬天的风那样的凛冽，也不像夏天的风那样干燥，春天的风是温和、轻柔的,3
荃不查余之中情兮，反信谗而齌怒。,2
不用水浇,4
 牵补芘风雨，无复思营筑,4
主女子赤沃，止血养精，保血脉，益气，令人肥健，嗜食。一名水英，生池泽。,1
厥明夕，为期于庙门之外,6
鸭肉味甘，冷，无毒。补内虚，消毒热，利水道及治小儿热惊痫。,0
五至七叶，叶长二尺五，宽六至七分，色清而有光泽，叶背紫，红，苞叶黑亮如漆者多素，冬月开花，六至十二朵，竹叶瓣，花长两寸半，如蟹爪勾，银灰背黑，金色条纹，舌黑如漆，顶戴皇冠，清香如茉莉，葶长两尺，黑如漆，喜温暖、朝阳，忌霜冻,3
蜀中何物靈，有竹慈爲名。,2
篱落竹丛寒。,2
那柔嫩的枝条像许多纤细的小手，愉快地接受春姑娘的爱抚，它时而随春姑娘跳起婀娜多姿的舞蹈，时而直垂向地面表演着精彩的杂技，每个动作似乎都在向给它生机的春姑娘表示感激之情,4
黄河秦船（俗名摆子船,6
眼前那棵梅树，姿态十分优美,4
犹天之不可阶而升也,5
甘草味甘，平，无毒。和百药，解诸毒。,0
案《周礼》玉府：王斋，则供食玉。郑云：玉是阳精之纯者，食之以御水气。,1
身后龙山，古木参天，苍翠欲滴，一棵棵数百年高龄的名贵树种古枝虬盘、生生不息，保佑着郭洞村民世代的福祉,4
【肉红】　花千层圆密，红如肉色，透明不杂,3
案《广雅》云：屈居，芦茹也。《范子计然》云：闾茹出武都，黄色者善。,1
案《说文》云：蘧，蘧麦也。菊，大菊，蘧麦。《广雅》云：茈葳，陵苕，蘧麦也。《尔雅》云：大菊，蘧麦。郭璞云：一名麦句姜，即瞿麦。陶宏景云：子颇似麦，故名瞿麦。,1
醒脾解浊，全在于斯,0
则民失,5
叶薄而尖，其边有瓣者，荆桑也；凡枝、干、条、叶坚劲者，皆荆之类也,4
作小菜亦可,0
《吴普》曰：析蓂一名析目，一名荣冥，一名马骍，雷公神农扁鹊辛，李氏小温，四月采干，二十日生道旁，得细辛良，畏干姜，苦参荠实，神农无毒，生野田，五月五日采阴干，治腹胀（《御览》）。,1
静坐然后知平日之气浮，守默然后知平日之言躁，省事然后知平日之贵闲，闭户然后知平日之交滥，寡欲然后知平日之病多，近情然后知平日之念刻,6
胭脂味辛，温，无毒。主产后血运，心腹绞痛，可敷游肿。,0
但是我喜欢它，因为它是那样纯洁，那样无私，它留给人们的不仅仅是美丽花容，还有那累累硕果,4
昭仪及贤与妻旦夕上下，并侍左右,6
味辛平。,1
然后下土坚筑,4
蓺麻如之何？衡从其亩。取妻如之何？必告父母。既曰告止，曷又鞠止？,2
而后和之,5
 盍彻乎,5
南阳郦县有菊潭，饮其水者皆寿,3
主痈肿，恶创，死肌，寒风，湿痹，四肢拘缓不收，风头，肿气，通凑理。一名官脂。生山谷。,1
不知所以裁之,5
冯观察家厨最精,0
其颈似皋繇,5
【单白】　有数种：一种名青壳玉铃儿，苞青白，单瓣，花颇大，片片有黄点，中吐白心如珠,3
指其大略：猪宜皮薄，不可腥臊；鸡宜偏嫩，不可老稚；鲫鱼以扁身白肚为佳，乌背者，必崛强于盘中；鳗鱼以湖溪游泳为贵，江生者，必搓讶其骨节；谷喂之鸭，其膘肥而白色；奎土之笋，其节少而甘鲜；同一火腿也，而好丑判若天渊；同一台鳖也，而美恶分为冰炭；其他杂物，可以类推,0
山坡上，岩壁上，杜鹃花笑了，到处是一簇一簇耀眼的色彩,3
能知此者,5
何春巢家蛏汤豆腐之炒，竟成绝品,0
须河水滚透，撤沙去臊，再加鸡汤、蘑菇爆烂,0
］丈瀛洲，此三神山者，在渤海中，盖尝有至者，诸仙人及不死药生焉，其物禽尽白，而黄金白银为宫阙，未至，望之如云，及到，三神山反居水下，欲到则风引舡而去，终莫能至,6
徐鸭顶大鲜鸭一只，用百花酒十二两，青盐一两二钱、滚水一汤碗，冲化去渣沫，再兑冷水七饭碗，鲜姜四厚片，约重一两，同入大瓦盖钵内，将皮纸封固口，用大火笼烧透大炭吉三元（约二文一个）；外用套包一个，将火笼罩定，不可令其走气,0
肯向萦涂索价。,2
"竹子的节坚定，坚定是为了立志，君子看见它的节，就想到要磨炼自己的品行，不管一帆风顺还是遇到危险时，都始终如一（想到砥砺名节、无论穷通祸福,始终如一的人）",4
又青溪山馆碑曰：原夫法象莫过於天地，著明莫过於日月，鼓之以雷电，润之以风雨，咸秩无文，所以名山致祭，峻极於天，青溪山者，荆南之中岳也，隐隐干霄，亭亭无际，云盖三层，如在帝台之侧，桂林八树，非异景山之傍，轻霞亘起，影落照於阳溪，清风远至，响猿鸣於巫峡，西临百丈之穴，南带千仞之水，洪源湛淡，长波萦复,6
味辛温。,1
《吴普》曰：长石一名方石，一名直石，生长子山谷，如马齿，润泽玉色长鲜，服之不饥（《御览》）。,1
案《西山经》云：皇人之山，其下多青；郭璞云：空青曾青之属；《范子计然》云：空青出巴郡；《司马相如赋》云：丹青，张揖云青，青也；颜师古云：青，今之丹青也。,1
作《羽族单》,0
白蜺婴茀，胡为此堂？,2
主下利脓血，补中续绝伤金创，益气不饥耐老。生山谷。,1
渡滠水至黄浒铺，陌上徧生紫花，自根至颠纯花少叶，色如江南诸葛菜、桔梗花，数百里内皆有之，楚人呼为闷头花，近之輙头闷不止，相戒以为不可向迩，吴人呼为老鼠花，花、干皆入药，春月采而藏之,3
一段文章种性。,2
病诸疮疾，作膏药贴，神效,4
 帝然其言，心以为忠，遂不见珣,6
牡丹，姿态优美,3
梧桐早已落叶，望春花也只剩着疏落的空枝；唯有终年常青的黄杨木，还透示着几分生意,4
细叶、粗叶寿安，潜溪绯，以地著,3
凡珠在蚌，如玉在璞,6
蓑衣饼干面用冷水调，不可多，揉擀薄后，卷拢再擀薄了，用猪油、白糖铺匀，再卷拢擀成薄饼，用猪油熯黄,0
　　一举曰，科斗为字之祖，象虾（虫+麻）子形也,6
匪风发兮，匪车偈兮。顾瞻周道，中心怛兮。,2
］春秋感精符曰：王者旁流四表，则白雉见,6
枣不去皮，取其鲜也；油不先熬，取其生也,0
心源澄道靜，衣葛蘸泉凉。,2
恣情枕上飛莊蝶，任爾雲間騁陸龍。,2
浙大白乃马塍遗种,3
云林鹅《倪云林集》中载制鹅法,0
艶阳娇，〈小瓣，梅红,3
 因余爱之，次日再送一坛来，则全然不是矣,0
白马茎味咸甘，无毒。主伤中，脉绝，强志，益气，长肌肉，令人有子，能壮盛阴气。,0
备种则可存,3
每一蒸后，必一洗一拭,0
 府尹道： 他做下这般罪，高太尉批仰定罪，定要问他 手执利刃，故入节堂，杀害本官 ，怎周全得他？ 孙定道： 这南衙开封府不是朝廷的，是高太尉家的？ 府尹道： 胡说！ 孙定道： 谁不知高太尉当权，倚势豪强，更兼他府里无般不做，但有人小小触犯，便发来开封府，要杀便杀，要剐便剐，却不是他家官府,6
案《广雅》云：鸢尾乌萐，射干也。《荀子》劝学篇云：西方有木焉，名曰射干，茎长四寸。《范子计然》云：射干根如□□□安定。,1
五、六月茎端开大白花，长五寸，六出，四垂向下，色亦不红,3
春夏之际，花正盛开，岂不令人心旷神怡,3
主寒热，恶创，火热，辟鬼气不祥（《御览》作辟恶气，不祥，鬼毒）。一名丹草（《御览》引云：丹沙草）。生山谷。,1
